Answer,Difficulty,QuestionId,QuestionText,TopicId,Type
"Ihan vitusti, Suhteellinen atomimassa pt 0!",1,13_0,Suhteellinen atomimassa on...,13,flashcard
"Ihan vitusti, Suhteellinen atomimassa pt 1!",2,13_1,Suhteellinen atomimassa ei ole...,13,flashcard
"Ihan vitusti, Suhteellinen atomimassa pt 2!",3,13_2,Suhteellinen atomimassa kaltainen on,13,flashcard
"Ihan vitusti, Suhteellinen atomimassa pt 3!",4,13_3,Paljonko Suhteellinen atomimassa painaa?,13,OpenEnded
"Ihan vitusti, Suhteellinen atomimassa pt 4!",5,13_4,Montako Suhteellinen atomimassa saa markalla?,13,OpenEnded
"Ihan vitusti, Mooli pt 0!",1,14_0,Mooli on...,14,flashcard
"Ihan vitusti, Mooli pt 1!",2,14_1,Mooli ei ole...,14,flashcard
"Ihan vitusti, Mooli pt 2!",3,14_2,Mooli kaltainen on,14,flashcard
"Ihan vitusti, Mooli pt 3!",4,14_3,Paljonko Mooli painaa?,14,OpenEnded
"Ihan vitusti, Mooli pt 4!",5,14_4,Montako Mooli saa markalla?,14,OpenEnded
"Ihan vitusti, Ainemäärä, moolimassa ja Avogadron vakio pt 0!",1,15_0,"Ainemäärä, moolimassa ja Avogadron vakio on...",15,flashcard
"Ihan vitusti, Ainemäärä, moolimassa ja Avogadron vakio pt 1!",2,15_1,"Ainemäärä, moolimassa ja Avogadron vakio ei ole...",15,flashcard
"Ihan vitusti, Ainemäärä, moolimassa ja Avogadron vakio pt 2!",3,15_2,"Ainemäärä, moolimassa ja Avogadron vakio kaltainen on",15,flashcard
"Ihan vitusti, Ainemäärä, moolimassa ja Avogadron vakio pt 3!",4,15_3,"Paljonko Ainemäärä, moolimassa ja Avogadron vakio painaa?",15,OpenEnded
"Ihan vitusti, Ainemäärä, moolimassa ja Avogadron vakio pt 4!",5,15_4,"Montako Ainemäärä, moolimassa ja Avogadron vakio saa markalla?",15,OpenEnded
"Ihan vitusti, Harjoituksia ainemäärällä pt 0!",1,16_0,Harjoituksia ainemäärällä on...,16,flashcard
"Ihan vitusti, Harjoituksia ainemäärällä pt 1!",2,16_1,Harjoituksia ainemäärällä ei ole...,16,flashcard
"Ihan vitusti, Harjoituksia ainemäärällä pt 2!",3,16_2,Harjoituksia ainemäärällä kaltainen on,16,flashcard
"Ihan vitusti, Harjoituksia ainemäärällä pt 3!",4,16_3,Paljonko Harjoituksia ainemäärällä painaa?,16,OpenEnded
"Ihan vitusti, Harjoituksia ainemäärällä pt 4!",5,16_4,Montako Harjoituksia ainemäärällä saa markalla?,16,OpenEnded
"Ihan vitusti, Massa- ja tilavuusprosentti pt 0!",1,17_0,Massa- ja tilavuusprosentti on...,17,flashcard
"Ihan vitusti, Massa- ja tilavuusprosentti pt 1!",2,17_1,Massa- ja tilavuusprosentti ei ole...,17,flashcard
"Ihan vitusti, Massa- ja tilavuusprosentti pt 2!",3,17_2,Massa- ja tilavuusprosentti kaltainen on,17,flashcard
"Ihan vitusti, Massa- ja tilavuusprosentti pt 3!",4,17_3,Paljonko Massa- ja tilavuusprosentti painaa?,17,OpenEnded
"Ihan vitusti, Massa- ja tilavuusprosentti pt 4!",5,17_4,Montako Massa- ja tilavuusprosentti saa markalla?,17,OpenEnded
"Ihan vitusti, Konsentraatio pt 0!",1,18_0,Konsentraatio on...,18,flashcard
"Ihan vitusti, Konsentraatio pt 1!",2,18_1,Konsentraatio ei ole...,18,flashcard
"Ihan vitusti, Konsentraatio pt 2!",3,18_2,Konsentraatio kaltainen on,18,flashcard
"Ihan vitusti, Konsentraatio pt 3!",4,18_3,Paljonko Konsentraatio painaa?,18,OpenEnded
"Ihan vitusti, Konsentraatio pt 4!",5,18_4,Montako Konsentraatio saa markalla?,18,OpenEnded
"Ihan vitusti, Yhteenvetodemonstraatioita pt 0!",1,19_0,Yhteenvetodemonstraatioita on...,19,flashcard
"Ihan vitusti, Yhteenvetodemonstraatioita pt 1!",2,19_1,Yhteenvetodemonstraatioita ei ole...,19,flashcard
"Ihan vitusti, Yhteenvetodemonstraatioita pt 2!",3,19_2,Yhteenvetodemonstraatioita kaltainen on,19,flashcard
"Ihan vitusti, Yhteenvetodemonstraatioita pt 3!",4,19_3,Paljonko Yhteenvetodemonstraatioita painaa?,19,OpenEnded
"Ihan vitusti, Yhteenvetodemonstraatioita pt 4!",5,19_4,Montako Yhteenvetodemonstraatioita saa markalla?,19,OpenEnded
"Ihan vitusti, Kidevesi pt 0!",1,20_0,Kidevesi on...,20,flashcard
"Ihan vitusti, Kidevesi pt 1!",2,20_1,Kidevesi ei ole...,20,flashcard
"Ihan vitusti, Kidevesi pt 2!",3,20_2,Kidevesi kaltainen on,20,flashcard
"Ihan vitusti, Kidevesi pt 3!",4,20_3,Paljonko Kidevesi painaa?,20,OpenEnded
"Ihan vitusti, Kidevesi pt 4!",5,20_4,Montako Kidevesi saa markalla?,20,OpenEnded
"Ihan vitusti, Minimienergiaperiaate pt 0!",1,21_0,Minimienergiaperiaate on...,21,flashcard
"Ihan vitusti, Minimienergiaperiaate pt 1!",2,21_1,Minimienergiaperiaate ei ole...,21,flashcard
"Ihan vitusti, Minimienergiaperiaate pt 2!",3,21_2,Minimienergiaperiaate kaltainen on,21,flashcard
"Ihan vitusti, Minimienergiaperiaate pt 3!",4,21_3,Paljonko Minimienergiaperiaate painaa?,21,OpenEnded
"Ihan vitusti, Minimienergiaperiaate pt 4!",5,21_4,Montako Minimienergiaperiaate saa markalla?,21,OpenEnded
"Ihan vitusti, Bohrin atomimalli pt 0!",1,22_0,Bohrin atomimalli on...,22,flashcard
"Ihan vitusti, Bohrin atomimalli pt 1!",2,22_1,Bohrin atomimalli ei ole...,22,flashcard
"Ihan vitusti, Bohrin atomimalli pt 2!",3,22_2,Bohrin atomimalli kaltainen on,22,flashcard
"Ihan vitusti, Bohrin atomimalli pt 3!",4,22_3,Paljonko Bohrin atomimalli painaa?,22,OpenEnded
"Ihan vitusti, Bohrin atomimalli pt 4!",5,22_4,Montako Bohrin atomimalli saa markalla?,22,OpenEnded
"Ihan vitusti, Kvanttimekaaninen atomimalli pt 0!",1,23_0,Kvanttimekaaninen atomimalli on...,23,flashcard
"Ihan vitusti, Kvanttimekaaninen atomimalli pt 1!",2,23_1,Kvanttimekaaninen atomimalli ei ole...,23,flashcard
"Ihan vitusti, Kvanttimekaaninen atomimalli pt 2!",3,23_2,Kvanttimekaaninen atomimalli kaltainen on,23,flashcard
"Ihan vitusti, Kvanttimekaaninen atomimalli pt 3!",4,23_3,Paljonko Kvanttimekaaninen atomimalli painaa?,23,OpenEnded
"Ihan vitusti, Kvanttimekaaninen atomimalli pt 4!",5,23_4,Montako Kvanttimekaaninen atomimalli saa markalla?,23,OpenEnded
"Ihan vitusti, Paulin kieltosääntö & Hundin sääntö pt 0!",1,24_0,Paulin kieltosääntö & Hundin sääntö on...,24,flashcard
"Ihan vitusti, Paulin kieltosääntö & Hundin sääntö pt 1!",2,24_1,Paulin kieltosääntö & Hundin sääntö ei ole...,24,flashcard
"Ihan vitusti, Paulin kieltosääntö & Hundin sääntö pt 2!",3,24_2,Paulin kieltosääntö & Hundin sääntö kaltainen on,24,flashcard
"Ihan vitusti, Paulin kieltosääntö & Hundin sääntö pt 3!",4,24_3,Paljonko Paulin kieltosääntö & Hundin sääntö painaa?,24,OpenEnded
"Ihan vitusti, Paulin kieltosääntö & Hundin sääntö pt 4!",5,24_4,Montako Paulin kieltosääntö & Hundin sääntö saa markalla?,24,OpenEnded
"Ihan vitusti, Jaksollinen järjestelmä orbitaalien mukaan pt 0!",1,25_0,Jaksollinen järjestelmä orbitaalien mukaan on...,25,flashcard
"Ihan vitusti, Jaksollinen järjestelmä orbitaalien mukaan pt 1!",2,25_1,Jaksollinen järjestelmä orbitaalien mukaan ei ole...,25,flashcard
"Ihan vitusti, Jaksollinen järjestelmä orbitaalien mukaan pt 2!",3,25_2,Jaksollinen järjestelmä orbitaalien mukaan kaltainen on,25,flashcard
"Ihan vitusti, Jaksollinen järjestelmä orbitaalien mukaan pt 3!",4,25_3,Paljonko Jaksollinen järjestelmä orbitaalien mukaan painaa?,25,OpenEnded
"Ihan vitusti, Jaksollinen järjestelmä orbitaalien mukaan pt 4!",5,25_4,Montako Jaksollinen järjestelmä orbitaalien mukaan saa markalla?,25,OpenEnded
"Ihan vitusti, Atomin koko pt 0!",1,26_0,Atomin koko on...,26,flashcard
"Ihan vitusti, Atomin koko pt 1!",2,26_1,Atomin koko ei ole...,26,flashcard
"Ihan vitusti, Atomin koko pt 2!",3,26_2,Atomin koko kaltainen on,26,flashcard
"Ihan vitusti, Atomin koko pt 3!",4,26_3,Paljonko Atomin koko painaa?,26,OpenEnded
"Ihan vitusti, Atomin koko pt 4!",5,26_4,Montako Atomin koko saa markalla?,26,OpenEnded
"Ihan vitusti, Ionisaatioenergia (IE) pt 0!",1,27_0,Ionisaatioenergia (IE) on...,27,flashcard
"Ihan vitusti, Ionisaatioenergia (IE) pt 1!",2,27_1,Ionisaatioenergia (IE) ei ole...,27,flashcard
"Ihan vitusti, Ionisaatioenergia (IE) pt 2!",3,27_2,Ionisaatioenergia (IE) kaltainen on,27,flashcard
"Ihan vitusti, Ionisaatioenergia (IE) pt 3!",4,27_3,Paljonko Ionisaatioenergia (IE) painaa?,27,OpenEnded
"Ihan vitusti, Ionisaatioenergia (IE) pt 4!",5,27_4,Montako Ionisaatioenergia (IE) saa markalla?,27,OpenEnded
"Ihan vitusti, σ- ja π-sidokset pt 0!",1,28_0,σ- ja π-sidokset on...,28,flashcard
"Ihan vitusti, σ- ja π-sidokset pt 1!",2,28_1,σ- ja π-sidokset ei ole...,28,flashcard
"Ihan vitusti, σ- ja π-sidokset pt 2!",3,28_2,σ- ja π-sidokset kaltainen on,28,flashcard
"Ihan vitusti, σ- ja π-sidokset pt 3!",4,28_3,Paljonko σ- ja π-sidokset painaa?,28,OpenEnded
"Ihan vitusti, σ- ja π-sidokset pt 4!",5,28_4,Montako σ- ja π-sidokset saa markalla?,28,OpenEnded
"Ihan vitusti, Hybridiorbitaalit pt 0!",1,29_0,Hybridiorbitaalit on...,29,flashcard
"Ihan vitusti, Hybridiorbitaalit pt 1!",2,29_1,Hybridiorbitaalit ei ole...,29,flashcard
"Ihan vitusti, Hybridiorbitaalit pt 2!",3,29_2,Hybridiorbitaalit kaltainen on,29,flashcard
"Ihan vitusti, Hybridiorbitaalit pt 3!",4,29_3,Paljonko Hybridiorbitaalit painaa?,29,OpenEnded
"Ihan vitusti, Hybridiorbitaalit pt 4!",5,29_4,Montako Hybridiorbitaalit saa markalla?,29,OpenEnded
"Ihan vitusti, Sp2- ja sp-hybridiorbitaalit pt 0!",1,30_0,Sp2- ja sp-hybridiorbitaalit on...,30,flashcard
"Ihan vitusti, Sp2- ja sp-hybridiorbitaalit pt 1!",2,30_1,Sp2- ja sp-hybridiorbitaalit ei ole...,30,flashcard
"Ihan vitusti, Sp2- ja sp-hybridiorbitaalit pt 2!",3,30_2,Sp2- ja sp-hybridiorbitaalit kaltainen on,30,flashcard
"Ihan vitusti, Sp2- ja sp-hybridiorbitaalit pt 3!",4,30_3,Paljonko Sp2- ja sp-hybridiorbitaalit painaa?,30,OpenEnded
"Ihan vitusti, Sp2- ja sp-hybridiorbitaalit pt 4!",5,30_4,Montako Sp2- ja sp-hybridiorbitaalit saa markalla?,30,OpenEnded
"Ihan vitusti, Hybridiorbitaalit ja sidospituudet pt 0!",1,31_0,Hybridiorbitaalit ja sidospituudet on...,31,flashcard
"Ihan vitusti, Hybridiorbitaalit ja sidospituudet pt 1!",2,31_1,Hybridiorbitaalit ja sidospituudet ei ole...,31,flashcard
"Ihan vitusti, Hybridiorbitaalit ja sidospituudet pt 2!",3,31_2,Hybridiorbitaalit ja sidospituudet kaltainen on,31,flashcard
"Ihan vitusti, Hybridiorbitaalit ja sidospituudet pt 3!",4,31_3,Paljonko Hybridiorbitaalit ja sidospituudet painaa?,31,OpenEnded
"Ihan vitusti, Hybridiorbitaalit ja sidospituudet pt 4!",5,31_4,Montako Hybridiorbitaalit ja sidospituudet saa markalla?,31,OpenEnded
"Ihan vitusti, Kiinteiden aineiden rakenteet pt 0!",1,32_0,Kiinteiden aineiden rakenteet on...,32,flashcard
"Ihan vitusti, Kiinteiden aineiden rakenteet pt 1!",2,32_1,Kiinteiden aineiden rakenteet ei ole...,32,flashcard
"Ihan vitusti, Kiinteiden aineiden rakenteet pt 2!",3,32_2,Kiinteiden aineiden rakenteet kaltainen on,32,flashcard
"Ihan vitusti, Kiinteiden aineiden rakenteet pt 3!",4,32_3,Paljonko Kiinteiden aineiden rakenteet painaa?,32,OpenEnded
"Ihan vitusti, Kiinteiden aineiden rakenteet pt 4!",5,32_4,Montako Kiinteiden aineiden rakenteet saa markalla?,32,OpenEnded
"Ihan vitusti, Hilatyyppien ominaisuudet pt 0!",1,33_0,Hilatyyppien ominaisuudet on...,33,flashcard
"Ihan vitusti, Hilatyyppien ominaisuudet pt 1!",2,33_1,Hilatyyppien ominaisuudet ei ole...,33,flashcard
"Ihan vitusti, Hilatyyppien ominaisuudet pt 2!",3,33_2,Hilatyyppien ominaisuudet kaltainen on,33,flashcard
"Ihan vitusti, Hilatyyppien ominaisuudet pt 3!",4,33_3,Paljonko Hilatyyppien ominaisuudet painaa?,33,OpenEnded
"Ihan vitusti, Hilatyyppien ominaisuudet pt 4!",5,33_4,Montako Hilatyyppien ominaisuudet saa markalla?,33,OpenEnded
"Ihan vitusti, Rakenneisomeria pt 0!",1,34_0,Rakenneisomeria on...,34,flashcard
"Ihan vitusti, Rakenneisomeria pt 1!",2,34_1,Rakenneisomeria ei ole...,34,flashcard
"Ihan vitusti, Rakenneisomeria pt 2!",3,34_2,Rakenneisomeria kaltainen on,34,flashcard
"Ihan vitusti, Rakenneisomeria pt 3!",4,34_3,Paljonko Rakenneisomeria painaa?,34,OpenEnded
"Ihan vitusti, Rakenneisomeria pt 4!",5,34_4,Montako Rakenneisomeria saa markalla?,34,OpenEnded
"Ihan vitusti, Konformaatioisomeria pt 0!",1,35_0,Konformaatioisomeria on...,35,flashcard
"Ihan vitusti, Konformaatioisomeria pt 1!",2,35_1,Konformaatioisomeria ei ole...,35,flashcard
"Ihan vitusti, Konformaatioisomeria pt 2!",3,35_2,Konformaatioisomeria kaltainen on,35,flashcard
"Ihan vitusti, Konformaatioisomeria pt 3!",4,35_3,Paljonko Konformaatioisomeria painaa?,35,OpenEnded
"Ihan vitusti, Konformaatioisomeria pt 4!",5,35_4,Montako Konformaatioisomeria saa markalla?,35,OpenEnded
"Ihan vitusti, Cis-trans-isomeria pt 0!",1,36_0,Cis-trans-isomeria on...,36,flashcard
"Ihan vitusti, Cis-trans-isomeria pt 1!",2,36_1,Cis-trans-isomeria ei ole...,36,flashcard
"Ihan vitusti, Cis-trans-isomeria pt 2!",3,36_2,Cis-trans-isomeria kaltainen on,36,flashcard
"Ihan vitusti, Cis-trans-isomeria pt 3!",4,36_3,Paljonko Cis-trans-isomeria painaa?,36,OpenEnded
"Ihan vitusti, Cis-trans-isomeria pt 4!",5,36_4,Montako Cis-trans-isomeria saa markalla?,36,OpenEnded
"Ihan vitusti, Transrasvat pt 0!",1,37_0,Transrasvat on...,37,flashcard
"Ihan vitusti, Transrasvat pt 1!",2,37_1,Transrasvat ei ole...,37,flashcard
"Ihan vitusti, Transrasvat pt 2!",3,37_2,Transrasvat kaltainen on,37,flashcard
"Ihan vitusti, Transrasvat pt 3!",4,37_3,Paljonko Transrasvat painaa?,37,OpenEnded
"Ihan vitusti, Transrasvat pt 4!",5,37_4,Montako Transrasvat saa markalla?,37,OpenEnded
"Ihan vitusti, Optinen isomeria pt 0!",1,38_0,Optinen isomeria on...,38,flashcard
"Ihan vitusti, Optinen isomeria pt 1!",2,38_1,Optinen isomeria ei ole...,38,flashcard
"Ihan vitusti, Optinen isomeria pt 2!",3,38_2,Optinen isomeria kaltainen on,38,flashcard
"Ihan vitusti, Optinen isomeria pt 3!",4,38_3,Paljonko Optinen isomeria painaa?,38,OpenEnded
"Ihan vitusti, Optinen isomeria pt 4!",5,38_4,Montako Optinen isomeria saa markalla?,38,OpenEnded
"Ihan vitusti, Aminohapot (rakenne) pt 0!",1,39_0,Aminohapot (rakenne) on...,39,flashcard
"Ihan vitusti, Aminohapot (rakenne) pt 1!",2,39_1,Aminohapot (rakenne) ei ole...,39,flashcard
"Ihan vitusti, Aminohapot (rakenne) pt 2!",3,39_2,Aminohapot (rakenne) kaltainen on,39,flashcard
"Ihan vitusti, Aminohapot (rakenne) pt 3!",4,39_3,Paljonko Aminohapot (rakenne) painaa?,39,OpenEnded
"Ihan vitusti, Aminohapot (rakenne) pt 4!",5,39_4,Montako Aminohapot (rakenne) saa markalla?,39,OpenEnded
"Ihan vitusti, Proteiinit (rakenne) pt 0!",1,40_0,Proteiinit (rakenne) on...,40,flashcard
"Ihan vitusti, Proteiinit (rakenne) pt 1!",2,40_1,Proteiinit (rakenne) ei ole...,40,flashcard
"Ihan vitusti, Proteiinit (rakenne) pt 2!",3,40_2,Proteiinit (rakenne) kaltainen on,40,flashcard
"Ihan vitusti, Proteiinit (rakenne) pt 3!",4,40_3,Paljonko Proteiinit (rakenne) painaa?,40,OpenEnded
"Ihan vitusti, Proteiinit (rakenne) pt 4!",5,40_4,Montako Proteiinit (rakenne) saa markalla?,40,OpenEnded
"Ihan vitusti, Entsyymit pt 0!",1,41_0,Entsyymit on...,41,flashcard
"Ihan vitusti, Entsyymit pt 1!",2,41_1,Entsyymit ei ole...,41,flashcard
"Ihan vitusti, Entsyymit pt 2!",3,41_2,Entsyymit kaltainen on,41,flashcard
"Ihan vitusti, Entsyymit pt 3!",4,41_3,Paljonko Entsyymit painaa?,41,OpenEnded
"Ihan vitusti, Entsyymit pt 4!",5,41_4,Montako Entsyymit saa markalla?,41,OpenEnded
"Ihan vitusti, Stoikiometria pt 0!",1,42_0,Stoikiometria on...,42,flashcard
"Ihan vitusti, Stoikiometria pt 1!",2,42_1,Stoikiometria ei ole...,42,flashcard
"Ihan vitusti, Stoikiometria pt 2!",3,42_2,Stoikiometria kaltainen on,42,flashcard
"Ihan vitusti, Stoikiometria pt 3!",4,42_3,Paljonko Stoikiometria painaa?,42,OpenEnded
"Ihan vitusti, Stoikiometria pt 4!",5,42_4,Montako Stoikiometria saa markalla?,42,OpenEnded
"Ihan vitusti, Rajoittava lähtöaine pt 0!",1,43_0,Rajoittava lähtöaine on...,43,flashcard
"Ihan vitusti, Rajoittava lähtöaine pt 1!",2,43_1,Rajoittava lähtöaine ei ole...,43,flashcard
"Ihan vitusti, Rajoittava lähtöaine pt 2!",3,43_2,Rajoittava lähtöaine kaltainen on,43,flashcard
"Ihan vitusti, Rajoittava lähtöaine pt 3!",4,43_3,Paljonko Rajoittava lähtöaine painaa?,43,OpenEnded
"Ihan vitusti, Rajoittava lähtöaine pt 4!",5,43_4,Montako Rajoittava lähtöaine saa markalla?,43,OpenEnded
"Ihan vitusti, Seoslasku pt 0!",1,44_0,Seoslasku on...,44,flashcard
"Ihan vitusti, Seoslasku pt 1!",2,44_1,Seoslasku ei ole...,44,flashcard
"Ihan vitusti, Seoslasku pt 2!",3,44_2,Seoslasku kaltainen on,44,flashcard
"Ihan vitusti, Seoslasku pt 3!",4,44_3,Paljonko Seoslasku painaa?,44,OpenEnded
"Ihan vitusti, Seoslasku pt 4!",5,44_4,Montako Seoslasku saa markalla?,44,OpenEnded
"Ihan vitusti, Avogadron laki pt 0!",1,45_0,Avogadron laki on...,45,flashcard
"Ihan vitusti, Avogadron laki pt 1!",2,45_1,Avogadron laki ei ole...,45,flashcard
"Ihan vitusti, Avogadron laki pt 2!",3,45_2,Avogadron laki kaltainen on,45,flashcard
"Ihan vitusti, Avogadron laki pt 3!",4,45_3,Paljonko Avogadron laki painaa?,45,OpenEnded
"Ihan vitusti, Avogadron laki pt 4!",5,45_4,Montako Avogadron laki saa markalla?,45,OpenEnded
"Ihan vitusti, Moolitilavuus pt 0!",1,46_0,Moolitilavuus on...,46,flashcard
"Ihan vitusti, Moolitilavuus pt 1!",2,46_1,Moolitilavuus ei ole...,46,flashcard
"Ihan vitusti, Moolitilavuus pt 2!",3,46_2,Moolitilavuus kaltainen on,46,flashcard
"Ihan vitusti, Moolitilavuus pt 3!",4,46_3,Paljonko Moolitilavuus painaa?,46,OpenEnded
"Ihan vitusti, Moolitilavuus pt 4!",5,46_4,Montako Moolitilavuus saa markalla?,46,OpenEnded
"Ihan vitusti, Kaasujen tilayhtälö pt 0!",1,47_0,Kaasujen tilayhtälö on...,47,flashcard
"Ihan vitusti, Kaasujen tilayhtälö pt 1!",2,47_1,Kaasujen tilayhtälö ei ole...,47,flashcard
"Ihan vitusti, Kaasujen tilayhtälö pt 2!",3,47_2,Kaasujen tilayhtälö kaltainen on,47,flashcard
"Ihan vitusti, Kaasujen tilayhtälö pt 3!",4,47_3,Paljonko Kaasujen tilayhtälö painaa?,47,OpenEnded
"Ihan vitusti, Kaasujen tilayhtälö pt 4!",5,47_4,Montako Kaasujen tilayhtälö saa markalla?,47,OpenEnded
"Ihan vitusti, Tiheys pt 0!",1,48_0,Tiheys on...,48,flashcard
"Ihan vitusti, Tiheys pt 1!",2,48_1,Tiheys ei ole...,48,flashcard
